INFO: setting server port as: 2222
INFO: Waiting for incoming connection...
R1:12004899.387207842,1.000000000,12004899.387225416,12004900.387254948
R2:12004900.487363981,1.000000000,12004900.487435978,12004901.487465421
R3:12004901.587566774,1.000000000,12004901.587631937,12004902.587661736
R4:12004902.687764356,1.000000000,12004902.687841697,12004903.687871734
R5:12004903.787973236,1.000000000,12004903.788079321,12004904.788112335
R6:12004904.888249984,1.000000000,12004904.888303507,12004905.888334362
R7:12004905.988438668,1.000000000,12004905.988496322,12004906.988527311
R8:12004907.088652248,1.000000000,12004907.088729110,12004908.088762159
R9:12004908.188855775,1.000000000,12004908.188931853,12004909.188964352
R10:12004909.289053597,1.000000000,12004909.289131412,12004910.289166121
R11:12004910.389238873,1.000000000,12004910.389304264,12004911.389335565
R12:12004911.489445586,1.000000000,12004911.489523124,12004912.489552248
R13:12004912.589672916,1.000000000,12004912.589754548,12004913.589786511
R14:12004913.689904038,1.000000000,12004913.690021209,12004914.690053616
R15:12004914.790165458,1.000000000,12004914.790253220,12004915.790285161
R16:12004915.890376920,1.000000000,12004915.890440667,12004916.890468204
R17:12004916.990573451,1.000000000,12004916.990622066,12004917.990652556
R18:12004918.090777529,1.000000000,12004918.090848362,12004919.090879325
R19:12004919.191036163,1.000000000,12004919.191112425,12004920.191144308
R20:12004920.291243961,1.000000000,12004920.291316731,12004921.291345783
R21:12004921.391450619,1.000000000,12004921.391510315,12004922.391538030
R22:12004922.491618507,1.000000000,12004922.491669729,12004923.491702596
R23:12004923.591795493,1.000000000,12004923.591841612,12004924.591866132
R24:12004924.691950960,1.000000000,12004924.692026664,12004925.692051748
R25:12004925.792138843,1.000000000,12004925.792188995,12004926.792218514
R26:12004926.892311225,1.000000000,12004926.892367559,12004927.892402396
R27:12004927.992491473,1.000000000,12004927.992560750,12004928.992591420
R28:12004929.092759371,1.000000000,12004929.092836471,12004930.092867766
R29:12004930.192972284,1.000000000,12004930.193051264,12004931.193079222
R30:12004931.293192467,1.000000000,12004931.293249700,12004932.293279119
R31:12004932.393386960,1.000000000,12004932.393450661,12004933.393478641
R32:12004933.493600802,1.000000000,12004933.493666343,12004934.493694454
R33:12004934.593800154,1.000000000,12004934.593870785,12004935.593898481
R34:12004935.694001026,1.000000000,12004935.694088424,12004936.694120474
R35:12004936.794219049,1.000000000,12004936.794288741,12004937.794316648
R36:12004937.894425303,1.000000000,12004937.894488562,12004938.894518603
R37:12004938.994632000,1.000000000,12004938.994694663,12004939.994727535
R38:12004940.094822243,1.000000000,12004940.094877930,12004941.094905693
R39:12004941.195004990,1.000000000,12004941.195072781,12004942.195102517
R40:12004942.295198292,1.000000000,12004942.295259234,12004943.295288123
R41:12004943.395463178,1.000000000,12004943.395537563,12004944.395568741
R42:12004944.495669473,1.000000000,12004944.495733198,12004945.495761748
R43:12004945.595876493,1.000000000,12004945.595938820,12004946.595970610
R44:12004946.696074611,1.000000000,12004946.696140032,12004947.696169661
R45:12004947.796267062,1.000000000,12004947.796336640,12004948.796370191
R46:12004948.896465095,1.000000000,12004948.896507660,12004949.896535834
R47:12004949.996656856,1.000000000,12004949.996716676,12004950.996745758
R48:12004951.096863270,1.000000000,12004951.096921930,12004952.096957186
R49:12004952.197056854,1.000000000,12004952.197113916,12004953.197142053
R50:12004953.297256723,1.000000000,12004953.297326488,12004954.297354221
R51:12004954.397459347,1.000000000,12004954.397509297,12004955.397535777
R52:12004955.497649934,1.000000000,12004955.497713476,12004956.497742886
R53:12004956.597835388,1.000000000,12004956.597893506,12004957.597930728
R54:12004957.698029481,1.000000000,12004957.698092626,12004958.698122267
R55:12004958.798217634,1.000000000,12004958.798290586,12004959.798321636
R56:12004959.898420596,1.000000000,12004959.898488874,12004960.898520444
R57:12004960.998625541,1.000000000,12004960.998688493,12004961.998719281
R58:12004962.098780412,1.000000000,12004962.098841581,12004963.098870926
R59:12004963.198985819,1.000000000,12004963.199062016,12004964.199091949
R60:12004964.299212199,1.000000000,12004964.299275905,12004965.299305217
R61:12004965.399420463,1.000000000,12004965.399483757,12004966.399509687
R62:12004966.499600442,1.000000000,12004966.499670194,12004967.499706492
R63:12004967.599808237,1.000000000,12004967.599911099,12004968.599940814
R64:12004968.700031683,1.000000000,12004968.700113557,12004969.700145833
R65:12004969.800261244,1.000000000,12004969.800329614,12004970.800361123
R66:12004970.900462760,1.000000000,12004970.900539985,12004971.900567221
R67:12004972.000657445,1.000000000,12004972.000721961,12004973.000754800
R68:12004973.100905791,1.000000000,12004973.100966215,12004974.100996450
R69:12004974.201105261,1.000000000,12004974.201181112,12004975.201211452
R70:12004975.301314944,1.000000000,12004975.301396636,12004976.301434921
R71:12004976.401554013,1.000000000,12004976.401635241,12004977.401674164
R72:12004977.501782691,1.000000000,12004977.501898680,12004978.501934391
R73:12004978.602045637,1.000000000,12004978.602123754,12004979.602157483
R74:12004979.702276453,1.000000000,12004979.702357197,12004980.702393834
R75:12004980.802502185,1.000000000,12004980.802578611,12004981.802609969
R76:12004981.902734395,1.000000000,12004981.902793679,12004982.902837068
R77:12004983.002947375,1.000000000,12004983.003034435,12004984.003070168
R78:12004984.103174523,1.000000000,12004984.103246467,12004985.103280779
R79:12004985.203399727,1.000000000,12004985.203516981,12004986.203550810
R80:12004986.303672532,1.000000000,12004986.303760024,12004987.303808598
R81:12004987.403931014,1.000000000,12004987.403993519,12004988.404034043
R82:12004988.504148377,1.000000000,12004988.504234495,12004989.504268471
R83:12004989.604371479,1.000000000,12004989.604441507,12004990.604475075
