0.252,0.855,0.091,0.182,0.091
0.273,0.291,0.273,0.182,0.182
0.273,0.545,0.091,0.091,0.000
0.182,0.182,0.273,0.182,0.182
0.182,0.455,0.091,0.091,0.182
0.182,0.273,0.273,0.182,0.091
0.182,0.545,0.182,0.091,0.000
0.091,0.545,0.182,0.091,0.091
0.182,0.545,0.091,0.091,0.091
0.182,0.364,0.182,0.182,0.091
0.182,0.273,0.273,0.182,0.091
0.000,0.455,0.182,0.182,0.182
0.000,0.455,0.273,0.182,0.091
0.591,1.455,0.091,0.182,0.182
0.775,0.623,0.273,0.182,0.000
0.591,0.403,0.273,0.182,0.182
0.182,0.473,0.273,0.091,0.182
0.273,0.682,0.182,0.182,0.182
0.182,0.673,0.182,0.182,0.182
0.273,0.673,0.091,0.182,0.182
